slug,title,category,editorial_status,A,B,C,D,E,F,G,H,I,J,K,L,overall,tier,reader_test,recognition_evidence,unique_insight_evidence,generic_dictionary_test,generic_dictionary_note,nearest_neighbor_slug,neighbor_similarity,collision,independent_intent,primary_reason,secondary_reasons,trust_risks,word_count,reflection_question_count,related_dream_count,related_reason_count
lost-luggage,Lost Luggage,Anxiety and fear,,3,3,2,1,3,2,3,3,2,0,3,2,27,P2,Passes,"Finding your lost luggage Often brings relief, reassurance, gratitude, and renewed confidence after a period of emotional uncertainty.","Searching for lost luggage May reflect determination, frustration, and the desire to recover emotional stability, confidence, or peace.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",lost-in-a-building,0.3102,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1831,0,15,15
waiting-at-the-airport,Waiting at the Airport,Transformation and life transitions,,3,3,3,1,3,2,2,2,2,0,3,0,24,P2,Passes,"Rather than asking only, ""Why was I waiting at the airport?"" a more meaningful question becomes, ""What important transition am I currently preparing for, even if it hasn't fully begun yet?""","Waiting without knowing exactly when something will happen creates emotional discomfort, making airports one of the subconscious's strongest symbols for anticipation.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",the-future,0.2911,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,will happen,1716,0,15,15
waterfall,Waterfall,Transformation and life transitions,,3,2,2,1,3,2,2,3,3,0,3,2,26,P2,Passes,"Rather than asking only, ""Why did I see a waterfall?"" a more meaningful question becomes, ""What emotion within me is finally ready to flow instead of remaining trapped?""","Standing before a waterfall Often reflects awe, peace, and recognizing that meaningful emotional or spiritual transformation is taking place.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",water,0.3086,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1738,0,15,15
walking-on-water,Walking on Water,Water,,3,3,3,2,0,2,2,3,3,2,3,2,28,P3,Passes,"Stormy water symbolizes life's challenges, while walking above it represents faith overcoming fear rather than the storm disappearing.","Why faith is central to this symbol Whether viewed spiritually or psychologically, walking on water reflects trusting something greater than immediate fear.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",water,0.6163,true,"Potentially defensible if this distinction remains central: Why faith is central to this symbol Whether viewed spiritually or psychologically, walking on water reflects trusting something greater than immediate fear.",Generic interpretation,Excessive repetition; Likely duplicate intent,,1482,4,15,15
drinking-water,Drinking Water,Water,,3,3,3,1,0,2,2,3,3,0,3,2,25,P2,Passes,"Drinking living water Often brings profound peace, spiritual satisfaction, hope, and the feeling that your deepest longings are finally being fulfilled.","Rather than asking only, ""Why was I drinking water?"" a more meaningful question becomes, ""What part of me is finally beginning to receive the healing, wisdom, or peace it has needed for a long time?""",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",water,0.6079,true,"Potentially defensible if this distinction remains central: Rather than asking only, ""Why was I drinking water?"" a more meaningful question becomes, ""What part of me is finally beginning to receive the healing, wisdom, or peace it has needed for a long time?""",Generic interpretation,Weak reflection questions; Excessive repetition,,1637,0,15,15
frozen-lake,Frozen Lake,Water,,3,3,3,2,3,2,3,3,2,0,3,2,29,P3,Passes,"A frozen lake beginning to melt Often brings hope, relief, and the feeling that emotional healing is finally beginning after a long period of stillness.","Symbolically, a frozen lake represents emotions placed on pause rather than emotions that have disappeared.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,calm-water,0.2058,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1631,0,15,15
garden,Garden,Transformation and life transitions,,3,3,2,1,3,2,2,3,3,0,3,2,27,P2,Passes,"Why neglected gardens appear in dreams An overgrown or dying garden often reflects areas of life that have received little emotional, relational, or spiritual attention, encouraging gentle restoration rather than guilt.","Planting seeds in a garden May reflect hope, optimism, and believing that today's efforts will produce meaningful future rewards.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",the-future,0.2334,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1599,0,15,15
flowers,Flowers,Transformation and life transitions,,3,2,2,1,3,2,2,3,2,0,3,2,25,P2,Passes,"Planting flowers Often reflects hope, optimism, and believing that today's care will create tomorrow's beauty.","Ultimately, flowers symbolize beauty, emotional maturity, hope, gratitude, personal growth, and recognizing that life's most meaningful blessings often bloom gradually rather than instantly.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",garden,0.2311,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1607,0,14,14
boarding-the-wrong-bus,Boarding the Wrong Bus,Travel and transportation,,3,3,3,2,3,2,3,3,3,0,3,2,30,P3,Passes,"What psychologists might see in this dream From a psychological perspective, boarding the wrong bus often symbolizes decision anxiety, identity development, fear of making irreversible choices, social conformity, or recognizing that your current life path no longer reflects your authentic goals.","Ultimately, boarding the wrong bus symbolizes self-discovery, course correction, personal responsibility, life direction, and recognizing that changing your path is often an act of wisdom rather than failure.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,the-future,0.2637,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1693,0,15,15
bee-sting,Bee Sting,Transformation and life transitions,,3,3,3,2,3,2,3,3,3,0,3,2,30,P3,Passes,"Why bees are different from wasps Unlike many aggressive insects, bees usually sting only when threatened.","Ultimately, a bee sting symbolizes temporary pain, emotional awakening, healthy boundaries, necessary correction, personal growth, and recognizing that some uncomfortable moments ultimately protect your future rather than destroy it.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,ex-partner,0.1709,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1613,0,15,15
stuck-in-traffic,Stuck in Traffic,Transformation and life transitions,,3,3,2,1,3,2,2,3,3,0,3,2,27,P2,Passes,"Rather than asking only, ""Why was I stuck in traffic?"" a more meaningful question becomes, ""What area of my life feels delayed, and how am I responding while I wait?""","What psychologists might see in this dream From a psychological perspective, being stuck in traffic often symbolizes frustration tolerance, delayed gratification, workplace stress, feeling powerless, decision fatigue, or anxiety about falling behind in life.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-late,0.2241,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1610,0,14,14
not-finding-your-car,Not Finding Your Car,Travel and transportation,,3,3,3,1,1,1,2,3,2,2,3,2,26,P2,Passes,"Why recurring dreams deserve attention Recurring dreams about not finding your car may suggest ongoing uncertainty about your purpose, career, relationships, or future direction, encouraging deeper reflection rather than rushed decisions.","What psychologists might see in this dream From a psychological perspective, not finding your car often symbolizes identity uncertainty, decision fatigue, life transitions, reduced self-confidence, or feeling disconnected from personal goals and independence.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",stolen-car,0.5565,true,"Potentially defensible if this distinction remains central: What psychologists might see in this dream From a psychological perspective, not finding your car often symbolizes identity uncertainty, decision fatigue, life transitions, reduced self-confidence, or feeling disconnected from personal goals and independence.",Generic interpretation,Insufficient emotional context; Poor conditional scenarios,,1117,5,15,15
green-grass,Green Grass,Transformation and life transitions,,3,3,3,1,3,2,2,3,2,0,3,2,27,P2,Passes,"An endless field of green grass Often reflects hope, freedom, optimism, and excitement about the possibilities that lie ahead.","Rather than asking only, ""Why did I dream about green grass?"" a more meaningful question becomes, ""What healthy area of my life is beginning to flourish because of the care, patience, and consistency I have invested?""",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",mud-house,0.2482,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1546,0,15,15
house-break-in-while-sleeping,House Break-In While Sleeping,Houses and places,,3,3,3,2,2,2,3,3,3,0,3,2,29,P3,Passes,"Dreams about someone breaking into your house while you are sleeping often symbolize vulnerability, fear of losing control, violated boundaries, hidden anxiety, emotional insecurity, spiritual alertness, or feeling that your peace is being threatened by something you have not fully recognized.",Dreams about a house break-in while sleeping commonly appear during seasons where your sense of safety has been challenged.,Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,house,0.3723,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1647,0,11,11
being-robbed,Being Robbed,Anxiety and fear,,3,2,2,2,3,3,3,3,3,0,3,2,29,P3,Passes,"Rather than asking only, ""Why was I robbed?"" a more meaningful question becomes, ""What has recently been taking my peace, confidence, time, or emotional energy without my permission?""","What psychologists might see in this dream From a psychological perspective, dreams about being robbed often symbolize vulnerability, fear of losing control, unresolved betrayal, financial anxiety, weakened personal boundaries, or feeling emotionally exploited.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,stolen-car,0.3232,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1737,0,15,15
hearing-someone-walking-in-the-dark,Hearing Someone Walking in the Dark,Anxiety and fear,,3,3,3,2,3,2,2,0,2,2,3,2,27,P2,Passes,"Dreams about hearing someone walking in the dark often symbolize hidden fears, spiritual alertness, uncertainty, anxiety about the unknown, heightened intuition, unseen influences, or becoming aware that something in your life requires your attention before it fully reveals itself.","Why recurring footsteps dreams deserve attention Recurring dreams about hearing footsteps in the dark may suggest ongoing uncertainty, heightened intuition, unresolved fears, or a continuing invitation to seek clarity instead of allowing anxiety to shape your conclusions.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,eyes-staring-at-you-in-the-dark,0.252,false,The closest neighbor does not currently erase this page's independent intent.,Weak spiritual/biblical interpretation,,,1105,5,15,15
house-in-the-middle-of-nowhere,House in the Middle of Nowhere,Houses and places,,3,3,3,2,1,2,3,3,2,0,3,2,27,P2,Passes,"A beautiful house in the middle of nowhere Often reflects hope, peace, and discovering unexpected blessings during seasons that once felt lonely or uncertain.","Ultimately, a house in the middle of nowhere symbolizes self-discovery, hidden potential, emotional independence, spiritual reflection, inner peace, and recognizing that some of life's greatest transformations happen away from the attention of the world.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",house,0.5795,true,"Potentially defensible if this distinction remains central: Ultimately, a house in the middle of nowhere symbolizes self-discovery, hidden potential, emotional independence, spiritual reflection, inner peace, and recognizing that some of life's greatest transformations happen away from the attention of the world.",Weak reflection questions,,,1701,0,14,14
receiving-an-unknown-invitation,Receiving an Unknown Invitation,Transformation and life transitions,,3,3,3,2,3,2,3,3,3,0,3,2,30,P3,Passes,"Receiving an invitation to an unknown house Often reflects curiosity, emotional exploration, and becoming open to discovering unfamiliar parts of yourself.","Ultimately, receiving an unknown invitation symbolizes new beginnings, hidden opportunities, personal calling, important decisions, spiritual growth, and recognizing that meaningful transformation often begins with a single choice.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,the-future,0.2519,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1577,0,15,15
the-future,The Future,Transformation and life transitions,,3,3,3,1,2,2,3,2,3,0,3,0,25,P2,Passes,"Dreams about the future often help organize hopes, fears, and long-term goals rather than predict specific events.","Different future dreams often represent different hopes, fears, or choices rather than contradictory predictions.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",seeing-your-future-self,0.4255,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,will happen,1483,0,15,15
slaughtering-an-animal,Slaughtering an Animal,Animals and creatures,,3,3,2,2,2,3,2,3,3,0,3,2,28,P3,Passes,"What psychologists might see in this dream From a psychological perspective, slaughtering an animal often symbolizes releasing old identities, ending unhealthy habits, processing grief, accepting necessary change, or consciously moving beyond one stage of life into another.","Symbolically, slaughtering an animal represents intentional sacrifice, transformation, and bringing one chapter to a meaningful conclusion.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",animal-attack,0.3497,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1530,0,15,15
rainbow,Rainbow,Transformation and life transitions,,3,3,2,2,3,2,3,3,2,0,3,2,28,P3,Passes,"Why chasing a rainbow changes the meaning Pursuing the rainbow often symbolizes following hope, dreams, or long-term goals while remembering to appreciate the present rather than constantly pursuing the next destination.",A rainbow touching the ground may symbolize bringing hope into everyday life rather than keeping it as a distant dream.,Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,the-future,0.165,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1476,0,13,13
cave,Cave,Houses and places,,3,2,2,1,3,3,2,3,3,0,3,2,27,P2,Passes,"A bright or illuminated cave Often reflects hope, encouragement, and feeling that understanding is beginning to replace uncertainty.","Ultimately, dreams about caves symbolize hidden potential, emotional exploration, personal growth, protection, inner wisdom, transformation, and discovering that the greatest answers often come from looking inward rather than outward.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",different-reflection-in-the-mirror,0.1598,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1516,0,14,14
broken-mirror,Broken Mirror,Objects,,3,2,2,1,2,2,2,3,2,0,3,2,24,P2,Passes,Finding a broken mirror Often reflects discovering that change has already begun or realizing that your perspective has quietly shifted.,"Unlike an intact mirror, which reflects a single image, a broken mirror creates multiple reflections.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",looking-in-the-mirror,0.4007,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1496,0,15,15
lost-in-a-city,Lost in a City,Houses and places,,3,3,2,1,1,0,3,3,3,0,3,2,24,P2,Passes,"Being lost in a city at night May reflect uncertainty, fear of the unknown, or feeling that answers are difficult to find during a challenging season.",Dreams about being lost in a city commonly appear during seasons of transition and uncertainty.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-lost,0.4783,true,Potentially defensible if this distinction remains central: Dreams about being lost in a city commonly appear during seasons of transition and uncertainty.,Insufficient emotional context,Weak reflection questions,,1543,0,15,15
sleep-paralysis,Sleep Paralysis,Anxiety and fear,,3,3,3,2,2,2,3,3,3,2,3,2,31,P3,Passes,"Why sleep paralysis often appears during stressful seasons Periods of anxiety, burnout, grief, disrupted sleep, major life transitions, or emotional conflict commonly increase experiences of sleep paralysis.",This powerful contrast makes sleep paralysis one of the subconscious mind's clearest symbols of feeling emotionally trapped.,Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,feeling-someone-watching-you-while-you-sleep,0.452,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Weak reflection questions,,2455,4,4,4
evil-presence,Evil Presence,Spiritual dreams,,3,3,3,1,2,2,2,3,3,0,3,2,27,P2,Passes,"Unable to move while sensing an evil presence Often reflects helplessness, emotional paralysis, anxiety, or feeling trapped within difficult circumstances.","The evil presence disappears Often reflects relief, hope, emotional healing, and realizing that fear has become less powerful than before.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",sleep-paralysis,0.3855,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,2383,0,6,6
demonic-attack,Demonic Attack,Anxiety and fear,KEEP,3,3,3,2,2,2,1,3,1,2,3,2,27,P2,Passes,"Why these dreams commonly appear during spiritual or emotional battles Dreams involving demonic attacks often occur during seasons of intense emotional pressure, grief, temptation, anxiety, burnout, major life transitions, or significant spiritual growth.","Recurring demonic attack dreams May reflect ongoing emotional stress, unresolved fears, recurring anxiety, or spiritual questions that continue seeking attention.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",evil-presence,0.3848,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient symbolic context,No practical connection,,1351,5,3,3
casting-out-demons,Casting Out Demons,Spiritual dreams,,3,3,3,2,2,2,3,3,3,2,3,3,32,P3,Passes,"Why you are often calm instead of afraid Unlike dreams where you are fleeing from danger, dreams about casting out demons often place you in a position of confidence.","Casting demons out of yourself Often reflects emotional healing, freedom from guilt, breaking unhealthy patterns, or overcoming fears that once controlled you.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,demonic-attack,0.3485,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Weak reflection questions,,1885,4,6,6
witchcraft,Witchcraft,Spiritual dreams,,3,3,2,2,3,2,3,3,3,0,3,2,29,P3,Passes,"Because witchcraft carries powerful meanings across different cultures and faiths, these dreams should be interpreted carefully rather than immediately assuming a literal spiritual attack.","Witchcraft being done against you May reflect vulnerability, anxiety, or feeling that unseen circumstances are working against your peace or confidence.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,witch,0.2483,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,2147,0,9,9
house-on-fire,House on Fire,Houses and places,,3,3,2,2,0,2,2,3,3,0,3,2,25,P2,Passes,"A house fire may represent releasing unhealthy relationships, breaking destructive habits, letting go of outdated beliefs, or clearing emotional burdens that have accumulated over many years.",Instead of asking only: 'Why did my house catch fire?' Consider asking yourself: What part of my life is changing so dramatically that it feels as though everything familiar is being transformed?,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",fire,0.6109,true,Potentially defensible if this distinction remains central: Instead of asking only: 'Why did my house catch fire?' Consider asking yourself: What part of my life is changing so dramatically that it feels as though everything familiar is being transformed?,Generic interpretation,Weak reflection questions; Excessive repetition,,2327,0,5,5
burning-clothes,Burning Clothes,Transformation and life transitions,,3,3,3,2,2,3,3,3,3,0,3,2,30,P3,Passes,"Rather than asking only: 'Why were my clothes burning?' Consider asking yourself: 'What part of myself am I afraid to leave behind?' or: 'What version of me am I finally ready to release?' The emotional answer often reveals whether the dream represents loss, resistance, or a powerful desire for freedom.","Burning dirty clothes Often reflects wanting to release shame, guilt, embarrassment, emotional baggage, or experiences that have left you feeling weighed down.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,house-burning,0.3691,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,2430,0,5,5
family,Family,Family,,3,3,3,3,3,3,3,3,3,2,2,3,34,P4,Passes,"Leaving the family gathering can distinguish a need for healthy independence from fear of rejection, depending on whether you felt relieved or distressed.","If the dream produced relief rather than sadness, separation from family may symbolize growing independence rather than rejection.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,childhood-home,0.3379,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,Weak internal links; Weak related dreams,,1568,7,2,2
being-watched,Being Watched,Anxiety and fear,,3,3,2,3,1,3,2,3,3,2,3,3,31,P3,Passes,"The meaning can shift considerably depending on whether you knew the watcher, felt afraid or calm, tried to hide, confronted them, or discovered who was watching.","In this version of the dream, the central issue is less ""What are they going to do?"" and more ""Why do they think they have the right to watch me?"" ### Curiosity If you were intrigued rather than afraid, the watcher may represent something you are becoming increasingly aware of.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",feeling-someone-watching-you-while-you-sleep,0.4638,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Excessive repetition,,1844,8,3,3
hearing-a-voice,Hearing a Voice,Spiritual dreams,,3,3,3,2,1,3,3,2,3,2,2,0,27,P2,Passes,"Think about what you associate with their voice—comfort, authority, criticism, safety, affection, or conflict—rather than assuming the person literally sent a message.","Hearing the voice of someone who is absent from your life may bring back the emotional experience associated with them, whether that involves affection, grief, comfort, regret, or unfinished business.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",hearing-your-name-called,0.5333,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Excessive repetition; Likely duplicate intent,will happen,1711,8,2,2
hospital,Hospital,Houses and places,,3,2,2,2,3,3,2,3,3,2,2,3,30,P3,Passes,"If you were afraid of receiving a diagnosis or hearing bad news, the dream may center on anticipation rather than the event itself.",Hospital dreams become much easier to interpret when you reconstruct what happened around the central event.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-sick,0.2463,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient symbolic context; Weak reflection questions,,1708,8,2,2
earthquake,Earthquake,Natural disasters,,3,3,2,3,3,3,3,3,3,2,3,3,34,P4,Passes,"If the earthquake felt powerful but strangely fascinating rather than frightening, it may correspond with a major change that feels disruptive while also opening the possibility of something new.","**Returning after the earthquake** can suggest a desire to understand what happened, assess the damage, or begin rebuilding rather than simply escaping the situation.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,breakup,0.2432,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Weak reflection questions,,1852,8,3,3
public-speaking,Public Speaking,Anxiety and fear,,3,3,3,3,3,3,3,3,3,2,3,2,34,P4,Passes,"If you enjoyed speaking and felt comfortable commanding the room, the dream may reflect growing self-assurance, a desire for recognition, or readiness to take up more space in waking life.",The dream may represent the pressure of wanting to be understood rather than a literal fear of public speaking.,Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,speaking-to-god,0.3394,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1573,8,3,3
breakup,Breakup,Relationships,,3,3,2,3,2,3,3,3,3,2,3,3,33,P4,Passes,"If you were furious about the breakup, consider whether the anger came from rejection, betrayal, unfairness, not being heard, or having an important decision made for you.","If you were trying to understand why the breakup happened, the dream may be emphasizing unanswered questions rather than separation itself.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,ex-partner,0.4006,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Weak reflection questions; Excessive repetition,,1929,8,3,3
cat,Cat,Animals and creatures,,3,3,3,3,0,3,3,3,3,2,2,2,30,P3,Passes,"Notice whether the cat was healthy, injured, frightened, aggressive, playful, calm, or unusually strange.","The meaning changes depending on whether you felt worried, frustrated, relieved, or simply curious as it disappeared.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",cat-scratching-you,0.6075,true,"Potentially defensible if this distinction remains central: The meaning changes depending on whether you felt worried, frustrated, relieved, or simply curious as it disappeared.",Generic interpretation,Excessive repetition; Likely duplicate intent,,1657,8,2,2
dog,Dog,Animals and creatures,,3,3,2,3,0,3,3,3,3,2,3,2,30,P3,Passes,"If you escaped and felt calmer afterward, the dream may emphasize overcoming a perceived threat rather than the threat itself.","Notice whether the dog was friendly, playful, protective, frightened, injured, aggressive, lost, or unusually quiet.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",dog-bite,0.699,true,"Potentially defensible if this distinction remains central: Notice whether the dog was friendly, playful, protective, frightened, injured, aggressive, lost, or unusually quiet.",Generic interpretation,Excessive repetition; Likely duplicate intent,,1758,8,3,3
horse,Horse,Transformation and life transitions,,3,3,2,3,3,3,3,3,3,2,3,3,34,P4,Passes,"Notice whether the horse was calm, energetic, frightened, aggressive, wild, injured, exhausted, trapped, or playful.",Riding a horse Riding can represent directing your energy toward a destination while working with something powerful rather than completely controlling it.,Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,running-but-cant-move-fast,0.1223,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Weak reflection questions,,1829,8,3,3
wolf,Wolf,Relationships,,3,3,2,3,3,3,3,3,3,2,3,2,33,P4,Passes,"The most useful clues are how the wolf behaved, whether you felt afraid or connected to it, and whether you were alone or part of a group.","If you have recently felt betrayed or uncertain about someone's intentions, a threatening wolf may provide imagery for the feeling that you need to stay alert.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,person-changing-into-an-animal,0.2202,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Weak reflection questions,,1733,8,3,3
boat,Boat,Transformation and life transitions,,3,3,2,3,0,2,2,3,3,2,3,2,28,P3,Passes,"A calm boat ride can suggest steadiness and trust, while a sinking, damaged, lost, or uncontrollable boat can bring vulnerability and uncertainty into focus.","Fear is especially relevant when the boat capsized, sank, or was surrounded by dangerous water.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",boat-sinking,0.5828,true,"Potentially defensible if this distinction remains central: Fear is especially relevant when the boat capsized, sank, or was surrounded by dangerous water.",Generic interpretation,Excessive repetition,,1783,8,3,3
seeing-a-stranger,Seeing a Stranger,Transformation and life transitions,,3,3,3,3,1,3,3,3,2,2,3,2,31,P3,Passes,"Fear can become more important when the stranger followed you, entered your private space, threatened you, or behaved unpredictably.","**Seeing many strangers** can shift the dream toward social environments, anonymity, belonging, or feeling surrounded by people whose intentions you do not yet understand.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,getting-married-to-a-stranger,0.5196,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Excessive repetition; Likely duplicate intent,,1676,8,3,3
childhood-home,Childhood Home,Houses and places,,3,3,3,3,2,3,2,3,3,2,3,2,32,P3,Passes,Returning to a happy childhood home Returning to a home associated with safety or affection may reflect nostalgia for a particular emotional quality rather than a literal desire to return to childhood.,"Childhood home is abandoned or empty An empty home may highlight absence, separation, grief, independence, or the end of a particular life chapter.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,moving-back-to-an-old-house,0.3939,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient symbolic context; Weak reflection questions,,1828,8,3,3
baptism,Baptism,Spiritual dreams,,3,3,2,2,3,3,3,2,3,2,3,0,29,P3,Passes,"Peace may be central when the baptism felt calm, meaningful, or comforting.","Guilt or shame can become important when the baptism was connected to confession, wrongdoing, judgment, or a desire to become a different person.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,water,0.2568,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Weak spiritual/biblical interpretation; Weak reflection questions,will happen,1734,8,3,3
being-left-behind,Being Left Behind,Relationships,,3,3,3,3,2,3,3,3,2,2,3,3,33,P4,Passes,"The meaning changes depending on who left, where they were going, whether you tried to follow, and how you felt afterward.","If you were ultimately comfortable being left behind, consider whether you are beginning to recognize that you do not have to follow everyone else's timeline.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,watching-a-train-or-plane-leave,0.3991,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,No practical connection; Weak reflection questions,,1617,8,3,3
butterfly,Butterfly,Transformation and life transitions,,3,3,2,3,3,3,3,3,3,2,3,3,34,P4,Passes,Freedom may be central if you watched the butterfly fly away or felt happy seeing it move wherever it wanted.,"Joy or wonder may dominate when the butterfly felt beautiful, peaceful, or fascinating.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,breakup,0.1304,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Weak reflection questions,,1621,8,3,3
new-house,New House,Houses and places,,3,3,3,3,0,3,3,3,3,2,3,2,31,P3,Passes,"If you immediately felt that the house belonged to you, the dream may reflect growing acceptance of a new chapter or identity.","**A small new house** may emphasize simplicity, privacy, security, or the desire for a more manageable life depending on how the space felt.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",house,0.7045,true,"Potentially defensible if this distinction remains central: **A small new house** may emphasize simplicity, privacy, security, or the desire for a more manageable life depending on how the space felt.",Generic interpretation,Excessive repetition; Likely duplicate intent,,1674,8,3,3
bread,Bread,Food,,3,3,3,2,3,3,3,3,2,2,3,2,32,P3,Passes,"If the experience felt peaceful, the dream may reflect comfort, security, or relief rather than deprivation.","The bread may represent care, assistance, generosity, or an exchange of support, but the emotional reaction determines whether receiving felt welcome or uncomfortable.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,eating-food,0.1153,false,The closest neighbor does not currently erase this page's independent intent.,No practical connection,Weak reflection questions; Poor conditional scenarios,,1995,8,3,3
